school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,pass
0,1,-0.6012774021423332,1,1,1,-0.5365331197870812,-0.349207030655576,2,2,1,1,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,0,0,0,0,1,1,1,0,0.08071124646653281,0.7777826074589157,0.7176932800597865,-0.5438216023497225,-1.0087154088816233,-0.3865246918887766,-0.7208843103055225,0.4461151836920917,0.240759361009227,12.0,1
0,1,-1.4102249110486837,1,0,0,-0.5365331197870812,-0.349207030655576,2,2,1,2,-0.7205050479993039,1.2347705906823363,-0.4059093217703815,0,1,0,0,1,1,1,1,0.08071124646653281,1.7428091759727555,-1.0161570720077266,-0.5438216023497225,-1.0087154088816233,-0.3865246918887766,-0.7208843103055225,0.9531024731122414,1.1544024993891127,15.5,1
0,1,-1.4102249110486837,1,0,1,1.2489496132791993,0.5599978030461182,4,2,3,1,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,0,0,0,0,1,1,1,0,0.08071124646653281,0.7777826074589157,-1.8830822480414833,-0.5438216023497225,-1.0087154088816233,-1.7914336081572049,-0.7208843103055225,0.4461151836920917,0.6975809301991699,14.5,1
0,1,-1.4102249110486837,1,0,1,1.2489496132791993,1.4692026367478126,1,1,2,0,-0.7205050479993039,-1.1631896868746643,-0.4059093217703815,0,1,1,0,1,1,1,0,1.148011281977918,0.7777826074589157,-1.0161570720077266,-0.5438216023497225,-1.0087154088816233,1.0183842243796517,-0.7208843103055225,0.10812365741199188,0.6975809301991699,13.5,1
0,1,-1.4102249110486837,1,0,1,1.2489496132791993,1.4692026367478126,1,3,1,1,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,0,1,1,0,0,1,1,0,1.148011281977918,0.7777826074589157,-1.0161570720077266,1.6293024945149737,1.3343330947994971,1.0183842243796517,-0.7208843103055225,-0.5678593951482077,-0.06378835178406825,11.5,1
0,1,-1.4102249110486837,0,0,1,1.2489496132791993,0.5599978030461182,4,0,0,1,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,0,1,0,1,1,1,1,1,0.08071124646653281,1.7428091759727555,-1.0161570720077266,-0.5438216023497225,-1.0087154088816233,1.0183842243796517,-0.7208843103055225,1.2910939993923412,1.1544024993891127,15.5,1
0,1,-1.4102249110486837,1,1,1,0.3562082467460591,0.5599978030461182,2,2,0,1,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,0,0,0,1,0,1,1,0,1.148011281977918,-0.18724396105492402,-1.0161570720077266,-0.5438216023497225,-1.0087154088816233,-1.0889791500229906,-0.7208843103055225,-0.2298678688681079,-0.06378835178406825,12.0,1
0,1,-1.4102249110486837,1,1,1,1.2489496132791993,1.4692026367478126,4,2,1,2,-0.7205050479993039,-1.1631896868746643,-0.4059093217703815,0,1,0,0,0,1,1,1,1.148011281977918,0.7777826074589157,-0.14923189597397007,0.5427404460826255,1.3343330947994971,1.0183842243796517,0.5546240204287205,-0.06087210572805801,0.08848550461257937,11.5,1
0,1,-1.4102249110486837,1,0,1,-0.5365331197870812,-0.349207030655576,3,3,0,0,-0.7205050479993039,-1.1631896868746643,-0.4059093217703815,1,1,0,0,1,1,1,0,1.148011281977918,0.7777826074589157,-1.8830822480414833,-0.5438216023497225,-1.0087154088816233,-1.7914336081572049,-0.7208843103055225,-0.9058509214283075,-0.6728837773706587,10.5,1
0,0,-0.6012774021423332,1,1,1,-0.5365331197870812,-0.349207030655576,2,0,0,0,0.6431626982140679,0.03579045190383593,1.1105920476691478,1,0,0,1,1,1,1,0,0.08071124646653281,-0.18724396105492402,-0.14923189597397007,0.5427404460826255,-0.22769924098791647,1.0183842243796517,1.511255268479403,-0.3988636320081578,-0.2160622081807159,10.0,1
0,0,-1.4102249110486837,1,1,1,1.2489496132791993,0.5599978030461182,3,3,3,0,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,1,0,0,1,1,1,1,1,0.08071124646653281,0.7777826074589157,0.7176932800597865,0.5427404460826255,1.3343330947994971,-1.0889791500229906,-0.7208843103055225,0.10812365741199188,-0.06378835178406825,11.0,1
0,0,-0.6012774021423332,1,1,1,1.2489496132791993,0.5599978030461182,4,3,0,1,2.0068304444274396,0.03579045190383593,-0.4059093217703815,0,1,0,1,1,1,1,0,1.148011281977918,0.7777826074589157,-0.14923189597397007,-0.5438216023497225,-0.22769924098791647,-1.7914336081572049,-0.40200722762196167,1.629085525672441,1.1544024993891127,15.5,1
0,1,-1.4102249110486837,1,0,1,1.2489496132791993,-0.349207030655576,2,2,0,1,-0.7205050479993039,2.4337507294608365,-0.4059093217703815,0,0,0,0,1,1,1,0,-0.9865887890448524,-0.18724396105492402,-0.14923189597397007,-0.5438216023497225,-1.0087154088816233,-0.3865246918887766,-0.7208843103055225,-0.2298678688681079,-0.5206099209740112,10.0,1
0,0,-1.4102249110486837,1,0,1,-1.4292744863202214,-1.2584118643572701,2,2,1,0,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,0,1,0,1,0,1,1,0,0.08071124646653281,-0.18724396105492402,-1.0161570720077266,0.5427404460826255,0.5533169269057904,0.3159297662454375,-0.40200722762196167,-0.06087210572805801,-0.06378835178406825,11.0,1
0,0,-1.4102249110486837,1,0,1,1.2489496132791993,-0.349207030655576,2,2,3,1,-0.7205050479993039,1.2347705906823363,-0.4059093217703815,0,1,0,1,1,1,1,0,1.148011281977918,-0.18724396105492402,-0.14923189597397007,-0.5438216023497225,0.5533169269057904,-1.7914336081572049,-0.08313014493840094,0.9531024731122414,1.0021286429924652,14.5,1
0,1,-0.6012774021423332,1,0,1,1.2489496132791993,1.4692026367478126,3,4,2,0,-0.7205050479993039,1.2347705906823363,-0.4059093217703815,0,1,0,1,1,1,1,1,0.08071124646653281,0.7777826074589157,-0.14923189597397007,-0.5438216023497225,-1.0087154088816233,0.3159297662454375,-0.7208843103055225,1.629085525672441,1.6112240685790558,16.5,1
0,0,-1.4102249110486837,1,0,0,0.3562082467460591,0.5599978030461182,2,1,3,0,-0.7205050479993039,2.4337507294608365,-0.4059093217703815,1,0,0,0,1,1,0,0,0.08071124646653281,-0.18724396105492402,-0.14923189597397007,-0.5438216023497225,-1.0087154088816233,0.3159297662454375,0.8735011031122812,-0.3988636320081578,-0.2160622081807159,10.5,1
0,1,-1.4102249110486837,1,1,1,1.2489496132791993,-0.349207030655576,4,2,0,1,-0.7205050479993039,-1.1631896868746643,-0.4059093217703815,0,0,0,0,1,1,1,0,-0.9865887890448524,1.7428091759727555,-1.0161570720077266,-0.5438216023497225,-1.0087154088816233,-0.3865246918887766,0.8735011031122812,2.3050685782326403,2.0680456377689986,18.5,1
0,0,-1.4102249110486837,1,1,0,0.3562082467460591,1.4692026367478126,2,2,1,1,-0.7205050479993039,0.03579045190383593,-0.4059093217703815,1,0,0,1,1,1,1,1,1.148011281977918,-0.18724396105492402,-1.0161570720077266,-0.5438216023497225,-1.0087154088816233,-1.7914336081572049,-0.7208843103055225,-0.9058509214283075,-0.2160622081807159,11.0,1
0,1,-0.6012774021423332,1,1,1,-0.5365331197870812,-1.2584118643572701,0,2,0,1,-0.7205050479993039,-1.1631896868746643,1.1105920476691478,0,0,0,1,1,1,0,1,0.08071124646653281,0.7777826074589157,0.7176932800597865,1.6293024945149737,2.115349262693204,1.0183842243796517,0.23574693774515978,-0.2298678688681079,0.08848550461257937,12.0,1
0,0,0.20767010676401745,1,0,1,1.2489496132791993,1.4692026367478126,2,4,0,1,-0.7205050479993039,-1.1631896868746643,-0.4059093217703815,1,1,0,0,1,1,0,1,0.08071124646653281,-1.1522705295687639,-1.8830822480414833,-0.5438216023497225,-1.0087154088816233,0.3159297662454375,-0.7208843103055225,0.27711942055204175,0.240759361009227,12.5,1
0,0,1.0166176156703681,0,0,1,-1.4292744863202214,-1.2584118643572701,0,2,0,1,2.0068304444274396,-1.1631896868746643,4.143594786548206,0,1,0,1,0,1,0,0,1.148011281977918,-1.1522705295687639,1.584618456093543,-0.5438216023497225,2.115349262693204,0.3159297662454375,0.23574693774515978,-0.3988636320081578,-0.6728837773706587,10.5,1
